anchors,bucket,case_index,graph_folded,graph_max_offset_m,ppo_better,ppo_folded,ppo_max_offset_m,ppo_minus_graph_m
25,Office >=16,32,0,0.30228651786172045,1,0,0.3022637572079323,-2.276065378814529e-05
16,Office >=16,33,0,0.08880272697779193,0,0,0.08880788214141615,5.155163624218084e-06
42,Office >=16,34,0,1.1039559479689274,1,0,0.6641989997681041,-0.43975694820082323
16,Office >=16,35,0,0.09581193769347295,1,0,0.09579112056112551,-2.081713234743099e-05
24,Office >=16,36,0,0.19293205712994613,0,0,0.19293940375317015,7.346623224019355e-06
23,Office >=16,37,0,0.18653166344685393,1,0,0.1865074975061156,-2.4165940738340996e-05
22,Office >=16,38,0,0.2794459785223214,1,0,0.2790511829181662,-0.0003947956041551737
16,Office >=16,39,0,1.3496750865490323,0,0,3.7173517644430225,2.36767667789399
16,Office >=16,40,0,0.08058648919773985,1,0,0.080580530965808,-5.958231931849078e-06
16,Office >=16,41,0,0.07985362133353281,1,0,0.07985265957278913,-9.61760743684037e-07
16,Office >=16,42,0,0.10452045413497223,1,0,0.10451003307535321,-1.0421059619014628e-05
16,Office >=16,43,0,0.14177647100565266,1,0,0.14176982491337342,-6.646092279238847e-06
18,Office >=16,44,0,0.1054849491330188,1,0,0.10547860579003646,-6.343342982342848e-06
48,Office >=16,45,0,0.6777564700649188,1,0,0.6718726495104905,-0.005883820554428265
16,Office >=16,46,0,0.8814045395229706,0,0,1.4414637382313498,0.5600591987083792
17,Office >=16,47,0,0.16255576465632254,0,0,0.16256549933244704,9.734676124500963e-06
17,Office >=16,48,0,0.07164655297172834,1,0,0.07164622519,-3.27781728343135e-07
16,Office >=16,49,0,0.12172457171441219,1,0,0.12171980452687262,-4.76718753956995e-06
16,Office >=16,50,0,0.05944811718218762,1,0,0.059446453491290026,-1.6636908975950493e-06
49,Office >=16,51,0,0.2181693662555445,1,0,0.21815376064272754,-1.5605612816965708e-05
30,Office >=16,52,0,0.39878003996262895,0,0,0.3991060233375553,0.0003259833749263419
18,Office >=16,53,0,0.15367499606421564,0,0,0.15367678851323013,1.792449014492714e-06
17,Office >=16,54,0,0.17443530731505907,1,0,0.17440819059355103,-2.7116721508041453e-05
19,Office >=16,55,0,0.19911145831266264,0,0,0.19912392892670885,1.2470614046217188e-05
